Sistema 1	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Sistema 5	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	1,40E-02	7,29E+00	1,51E-08	3,02E+01	3,23E-03	3,65E-07	9,26E-04	3,93E+01
	Cal (kg)	2,75E-02	9,59E+00	1,26E-07	6,46E+01	7,95E-03	4,67E-07	1,01E-03	7,56E+01
	Areia (kg)	2,35E-03	3,16E-01	1,62E-09	4,34E+00	5,52E-04	5,37E-08	5,41E-05	4,82E+00
	Água (kg)	1,15E-04	1,61E-02	7,20E-09	1,69E-01	3,20E-05	1,38E-09	6,99E-06	3,04E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
	Água (kg)	2,91E-05	4,06E-03	1,82E-09	4,27E-02	8,09E-06	3,48E-10	1,77E-06	7,67E-02
Alvenaria	Bloco de concreto (kg)	4,42E-02	1,17E+01	1,42E-07	7,90E+01	1,06E-02	9,32E-07	1,97E-03	1,05E+02
Aço	Aço (kg)	1,77E-03	4,69E-01	1,02E-08	4,85E+00	8,91E-04	2,63E-08	3,06E-04	5,88E+00
	Galvanização (m²)	6,86E-03	1,22E-01	1,44E-07	1,55E+00	1,74E-03	1,38E-08	2,87E-05	2,19E+00
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
Pintura	Tinta (kg)	8,38E-03	1,44E+00	6,50E-07	1,62E+01	2,87E-03	1,09E-07	8,38E-04	2,26E+01
TOTAL		1,25E-01	3,68E+01	1,78E-06	2,42E+02	3,37E-02	2,30E-06	6,48E-03	3,08E+02
Sistema 6	Material	 AP 	 GWP 	 ADP nf	 ADP f	 EP	 ODP	 POCP  	 CED  
Argamassa de revestimento	Cimento (kg)	7,01E-03	3,65E+00	7,56E-09	1,51E+01	1,61E-03	1,82E-07	4,63E-04	1,96E+01
	Cal (kg)	1,39E-02	4,85E+00	6,39E-08	3,27E+01	4,02E-03	2,36E-07	5,08E-04	3,82E+01
	Areia (kg)	1,17E-03	1,58E-01	8,08E-10	2,17E+00	2,76E-04	2,68E-08	2,70E-05	2,41E+00
	Água (kg)	5,76E-05	8,03E-03	3,60E-09	8,45E-02	1,60E-05	6,88E-10	3,49E-06	1,52E-01
Argamassa de assentamento	Cimento (kg)	3,54E-03	1,84E+00	3,81E-09	7,62E+00	8,14E-04	9,19E-08	2,34E-04	9,90E+00
	Cal (kg)	6,95E-03	2,43E+00	3,20E-08	1,63E+01	2,01E-03	1,18E-07	2,54E-04	1,91E+01
	Areia (kg)	5,95E-04	7,98E-02	4,09E-10	1,10E+00	1,40E-04	1,36E-08	1,37E-05	1,22E+00
